pair,timeframe,direction,quality,confidence,consensus,entry_score,risk_reward,regime,kalman_direction,kalman_trend_state,trend_vs_kalman_conflict,confidence_minus_quality,approved,reject_reason,institutional_score,structural_score,market_score,momentum_score,liquidity_score,risk_score,confidence_score_scanner,flow_score,timing_index,conviction_score,entry_score_scanner
BASEDUSDT,1d,long,0.5391,0.8601,0.75,0.0,0.0,volatile,UP,continuing,False,0.321,False,RVOL 0.50 < 0.7,0.5745,0.5137,0.4207,0.5793,0.916,0.167,0.8601,0.56,0.518,0.6519,0.0
BASEDUSDT,1h,short,0.5168,0.8585,0.75,0.6766,0.0,volatile,UP,continuing,False,0.3417,False,RVOL 0.55 < 0.7,0.5658,0.5134,0.4207,0.5895,0.916,0.167,0.8585,0.46,0.498,0.5557,0.6766
BCCOINUSDT,4h,short,0.5267,0.8845,0.86,0.8435,0.0,volatile,UP,continuing,False,0.3578,False,RVOL 0.49 < 0.7,0.567,0.5135,0.4221,0.5786,0.916,0.167,0.8845,0.46,0.528,0.6236,0.8435
BCCOINUSDT,30m,short,0.5216,0.8203,0.86,0.0,0.0,volatile,DOWN,reversing,False,0.2987,False,ADX 24.3 < 25,0.5745,0.514,0.4221,0.7106,0.916,0.167,0.8203,0.4,0.557,0.5309,0.0
BCCOINUSDT,1d,short,0.5159,0.8841,0.86,0.1704,0.0,volatile,SIDE,continuing,False,0.3682,False,RVOL 0.50 < 0.7,0.5764,0.5135,0.4221,0.641,0.916,0.167,0.8841,0.46,0.46,0.494,0.1704
BCCOINUSDT,1h,short,0.4642,0.7413,0.86,0.3363,0.0,volatile,UP,continuing,False,0.2771,False,ADX 24.3 < 25,0.4824,0.1908,0.4221,0.7065,0.916,0.1389,0.7413,0.4,0.528,0.5266,0.3363
BDXNUSDT,1d,short,0.6662,0.8635,0.82,0.0,0.0,trending_down,DOWN,continuing,False,0.1973,False,RVOL 0.58 < 0.7,0.6973,0.5135,0.8764,0.477,0.916,0.7216,0.8635,0.7,0.64,0.9448,0.0
BDXNUSDT,30m,short,0.596,0.8648,0.82,0.5842,0.0,trending_down,DOWN,continuing,False,0.2688,False,RVOL 0.48 < 0.7,0.6645,0.5137,0.8764,0.4569,0.916,0.7216,0.8648,0.4,0.54,0.7224,0.5842
BDXNUSDT,4h,short,0.5432,0.7887,0.82,0.2376,0.0,trending_down,SIDE,reversing,False,0.2455,False,RVOL 0.47 < 0.7,0.5998,0.191,0.8764,0.6331,0.916,0.6935,0.7887,0.4,0.52,0.5291,0.2376
BDXNUSDT,1h,short,0.5151,0.7232,0.82,0.3647,0.0,trending_down,DOWN,continuing,False,0.2081,False,Sem BOS ou CHoCH confirmado,0.5666,0.1911,0.8764,0.5218,0.916,0.6935,0.7232,0.3,0.46,0.6418,0.3647
BDXUSDT,30m,short,0.6433,0.8341,0.75,0.8639,0.0,volatile,DOWN,continuing,False,0.1908,False,ADX 19.1 < 25,0.6492,0.5139,0.4336,0.7261,0.958,0.277,0.8341,0.92,0.684,0.8215,0.8639
BDXUSDT,1d,long,0.6172,0.8346,0.75,0.5967,0.0,volatile,UP,continuing,False,0.2174,False,ADX 19.1 < 25,0.627,0.514,0.4336,0.7241,0.958,0.277,0.8346,0.7,0.725,0.8172,0.5967
BDXUSDT,1h,long,0.6156,0.7614,0.75,0.8536,0.0,volatile,DOWN,continuing,False,0.1458,False,ADX 19.1 < 25,0.5819,0.1918,0.4336,0.8276,0.958,0.2489,0.7614,1.0,0.755,0.7843,0.8536
